Key,Event,Match Type,Set Number,Match Number,Red 1,Red 2,Red 3,Blue 1,Blue 2,Blue 3,Red score,Blue score,Red 1 Elo,Red 2 Elo,Red 3 Elo,Blue 1 Elo,Blue 2 Elo,Blue 3 Elo,Red win likelihood,Red victory,Predicted red winning margin,Red winning margin,,,
2020isde1,ISR District Event #1,qm,1,55,1580,6736,5715,7177,7845,4590,96,85,1475,1492,1511,1536,1544,1528,32.0%,1,-23.4,11,,,
2020isde1,ISR District Event #1,qm,1,56,4319,5135,8333,7079,7112,3034,36,81,1472,1452,1425,1528,1496,1481,29.0%,0,-27.8,-45,,,
2020isde1,ISR District Event #1,qm,1,57,4661,5038,3083,3211,6738,2096,111,163,1413,1539,1543,1587,1473,1632,24.3%,0,-35.4,-52,,,
2020isde1,ISR District Event #1,qm,1,58,6740,6230,5554,7554,2230,1577,36,102,1485,1469,1643,1483,1615,1741,19.9%,0,-43.4,-66,,,
2020isde1,ISR District Event #1,qm,1,59,8223,1937,7079,5747,1943,2096,42,69,1494,1566,1532,1526,1509,1637,38.8%,0,-14.2,-27,,,
2020isde1,ISR District Event #1,qf,1,1,5990,2096,6230,5038,7177,1937,191,113,1607,1640,1463,1534,1527,1563,62.2%,1,15.5,78,,,
2020isde1,ISR District Event #1,qf,1,2,5990,2096,6230,5038,7177,1937,159,76,1611,1644,1467,1530,1523,1558,65.6%,1,20.0,83,,,
2020isde1,ISR District Event #1,qf,2,1,4586,5747,7079,8223,2230,6736,72,75,1559,1529,1529,1490,1621,1501,50.7%,0,0.8,-3,,,
2020isde1,ISR District Event #1,qf,2,2,4586,5747,7079,8223,2230,6736,75,75,1559,1529,1528,1491,1621,1501,50.4%,0.5,0.6,0,,,
2020isde1,ISR District Event #1,qf,3,1,1574,1577,7112,5715,2212,3034,91,106,1658,1747,1501,1520,1568,1485,87.2%,0,59.6,-15,,,
2020isde1,ISR District Event #1,qf,3,2,1574,1577,7112,5715,2212,3034,136,87,1653,1742,1496,1525,1573,1490,85.1%,1,54.2,49,,,
2020isde1,ISR District Event #1,qf,3,3,1574,1577,7112,5715,2212,3034,194,122,1653,1742,1495,1525,1573,1491,84.9%,1,53.9,72,,,
2020isde1,ISR District Event #1,qf,4,1,3211,5554,7845,4590,3083,1943,105,90,1592,1637,1535,1519,1539,1512,75.3%,1,34.7,15,,,
2020isde1,ISR District Event #1,qf,4,2,3211,5554,7845,4590,3083,1943,104,83,1590,1635,1534,1520,1540,1514,74.4%,1,33.3,21,,,
2020isde1,ISR District Event #1,sf,1,1,5990,2096,6230,8223,2230,6736,156,72,1616,1649,1471,1491,1621,1501,66.9%,1,21.9,84,,,
2020isde1,ISR District Event #1,sf,1,2,5990,2096,6230,8223,2230,6736,121,89,1620,1653,1476,1487,1617,1497,70.0%,1,26.4,32,,,
2020isde1,ISR District Event #1,sf,2,1,1574,1577,7112,3211,5554,7845,96,90,1654,1743,1496,1589,1635,1533,68.7%,1,24.4,6,,,
2020isde1,ISR District Event #1,sf,2,2,1574,1577,7112,3211,5554,7845,92,82,1653,1742,1495,1591,1636,1534,67.7%,1,23.1,10,,,
2020isde1,ISR District Event #1,f,1,1,5990,2096,6230,1574,1577,7112,178,93,1620,1653,1476,1652,1741,1494,31.2%,1,-24.6,85,,,
2020isde1,ISR District Event #1,f,1,2,5990,2096,6230,1574,1577,7112,118,28,1628,1661,1483,1644,1734,1487,36.9%,1,-16.7,90,,,
2020isde2,ISR District Event #2,qm,1,1,1690,4744,6168,5635,4661,2679,100,92,1776,1516,1475,1584,1408,1537,79.8%,1,42.7,8,,,
2020isde2,ISR District Event #2,qm,1,2,5654,8340,6049,5987,3075,4338,16,110,1591,1450,1420,1615,1625,1603,10.0%,0,-68.4,-94,,,
2020isde2,ISR District Event #2,qm,1,3,3835,7039,6736,2630,3339,5614,77,128,1603,1596,1497,1660,1703,1585,19.0%,0,-45.1,-51,,,
2020isde2,ISR District Event #2,qm,1,4,4320,6104,3316,2231,3388,1657,38,150,1507,1597,1641,1678,1546,1559,44.5%,0,-6.8,-112,,,
2020isde2,ISR District Event #2,qm,1,5,8175,7067,3065,4319,5951,1954,118,75,1450,1487,1541,1467,1575,1479,43.8%,1,-7.7,43,,,
2020isde2,ISR District Event #2,qm,1,6,7177,3075,3316,4416,1690,7039,108,188,1519,1631,1613,1468,1766,1594,40.6%,0,-11.8,-80,,,
2020isde2,ISR District Event #2,qm,1,7,5951,6049,7067,8175,6736,3388,87,74,1561,1413,1500,1464,1495,1575,41.5%,1,-10.6,13,,,
2020isde2,ISR District Event #2,qm,1,8,5654,2679,3065,6104,6168,4416,50,37,1584,1546,1555,1568,1466,1487,72.0%,1,29.4,13,,,
2020isde2,ISR District Event #2,qm,1,9,4744,1657,4661,2231,8340,3339,64,66,1506,1587,1417,1706,1443,1705,12.2%,0,-61.3,-2,,,
2020isde2,ISR District Event #2,qm,1,10,4319,5635,5987,1954,4338,3835,140,36,1454,1593,1622,1465,1610,1602,48.7%,1,-1.6,104,,,
2020isde2,ISR District Event #2,qm,1,11,5654,5614,7177,5951,2630,4320,96,45,1580,1586,1500,1567,1662,1479,44.0%,1,-7.5,51,,,
2020isde2,ISR District Event #2,qm,1,12,2231,6104,1954,1690,8175,2679,91,152,1690,1573,1437,1785,1457,1542,38.2%,0,-15.0,-61,,,
2020isde2,ISR District Event #2,qm,1,13,4338,4744,4416,7067,6168,3835,71,116,1582,1522,1491,1507,1471,1574,56.3%,0,7.9,-45,,,
2020isde2,ISR District Event #2,qm,1,14,2630,3388,7177,3075,3339,4319,126,69,1646,1568,1516,1613,1689,1482,42.3%,1,-9.6,57,,,
2020isde2,ISR District Event #2,qm,1,15,5635,6736,4320,3316,8340,4661,87,41,1621,1489,1464,1595,1427,1433,66.4%,1,21.2,46,,,
2020isde2,ISR District Event #2,qm,1,16,5987,5614,7039,3065,6049,1657,123,55,1650,1602,1613,1550,1419,1603,84.3%,1,52.3,68,,,
2020isde2,ISR District Event #2,qm,1,17,2231,1690,4661,7067,5654,6736,136,117,1678,1797,1427,1521,1596,1495,84.1%,1,51.9,19,,,
2020isde2,ISR District Event #2,qm,1,18,3339,6104,1657,2679,4416,4319,195,10,1671,1561,1599,1554,1477,1464,87.3%,1,60.1,185,,,
2020isde2,ISR District Event #2,qm,1,19,8340,1954,5987,7177,5635,5951,58,96,1421,1425,1654,1534,1628,1552,22.6%,0,-38.3,-38,,,
2020isde2,ISR District Event #2,qm,1,20,5614,3835,3075,8175,3316,7039,97,91,1606,1588,1595,1470,1588,1617,66.0%,1,20.6,6,,,
2020isde2,ISR District Event #2,qm,1,21,3065,4320,4338,4744,6049,3388,50,69,1546,1470,1567,1508,1415,1586,60.6%,0,13.4,-19,,,
2020isde2,ISR District Event #2,qm,1,22,6168,7039,1954,3075,2630,7067,90,161,1485,1621,1425,1591,1664,1529,18.8%,0,-45.6,-71,,,
2020isde2,ISR District Event #2,qm,1,23,5951,2231,4416,5987,1690,7177,78,107,1552,1669,1443,1654,1788,1534,14.2%,0,-56.0,-29,,,
2020isde2,ISR District Event #2,qm,1,24,3388,3835,3065,4744,2630,5635,77,89,1595,1584,1538,1517,1671,1628,36.1%,0,-17.7,-12,,,
2020isde2,ISR District Event #2,qm,1,25,4338,5654,6104,6736,1657,5614,93,59,1559,1604,1594,1504,1633,1602,52.6%,1,3.2,34,,,
2020isde2,ISR District Event #2,qm,1,26,3339,3316,2679,8340,4320,8175,49,61,1704,1592,1521,1421,1462,1473,93.4%,0,82.6,-12,,,
2020isde2,ISR District Event #2,qm,1,27,6049,4319,7177,4661,5654,6168,55,89,1424,1431,1527,1418,1613,1478,32.4%,0,-22.9,-34,,,
2020isde2,ISR District Event #2,qm,1,28,3075,6104,6736,3835,4320,4744,144,86,1598,1602,1496,1585,1487,1515,65.2%,1,19.5,58,,,
2020isde2,ISR District Event #2,qm,1,29,3316,1954,2630,4338,2231,6049,85,87,1567,1418,1669,1567,1676,1421,48.6%,0,-1.7,-2,,,
2020isde2,ISR District Event #2,qm,1,30,5614,8175,5635,4661,4416,5987,195,128,1594,1499,1626,1421,1451,1647,76.0%,1,35.9,67,,,
2020isde2,ISR District Event #2,qm,1,31,1690,3065,4319,8340,7039,2679,173,70,1781,1539,1428,1446,1614,1495,75.2%,1,34.5,103,,,
2020isde2,ISR District Event #2,qm,1,32,1657,5951,6168,3388,7067,3339,57,142,1624,1559,1481,1596,1536,1679,30.0%,0,-26.4,-85,,,
2020isde2,ISR District Event #2,qm,1,33,4338,2679,5614,3065,7177,2231,62,116,1567,1477,1602,1557,1524,1676,34.6%,0,-19.8,-54,,,
2020isde2,ISR District Event #2,qm,1,34,4320,6168,3339,1690,6104,5635,56,154,1477,1465,1695,1799,1613,1634,8.6%,0,-73.4,-98,,,
2020isde2,ISR District Event #2,qm,1,35,4661,3388,3075,1657,5987,3835,96,86,1413,1612,1609,1609,1639,1575,25.2%,1,-33.9,10,,,
2020isde2,ISR District Event #2,qm,1,36,4744,8175,5951,7039,2630,5654,65,97,1505,1507,1543,1596,1669,1616,13.4%,0,-58.2,-32,,,
2020isde2,ISR District Event #2,qm,1,37,4416,1954,7067,4319,6736,8340,87,67,1442,1418,1552,1446,1506,1428,54.6%,1,5.8,20,,,
2020isde2,ISR District Event #2,qm,1,38,4320,6049,5987,3316,5951,3835,23,35,1470,1421,1627,1567,1550,1563,28.2%,0,-29.1,-12,,,
2020isde2,ISR District Event #2,qm,1,39,1657,7177,7039,1954,4661,6104,118,72,1597,1533,1588,1422,1424,1619,81.1%,1,45.3,46,,,
2020isde2,ISR District Event #2,qm,1,40,3339,4338,1690,5654,5635,3075,251,78,1688,1558,1806,1609,1641,1620,74.0%,1,32.6,173,,,
2020isde2,ISR District Event #2,qm,1,41,2679,4744,7067,6049,3316,5614,84,81,1468,1512,1556,1425,1562,1593,43.6%,1,-8.1,3,,,
2020isde2,ISR District Event #2,qm,1,42,6736,2231,2630,4416,8340,3388,107,58,1503,1685,1662,1446,1424,1624,88.6%,1,63.8,49,,,
2020isde2,ISR District Event #2,qm,1,43,8175,4319,5654,6168,3065,3316,55,82,1514,1442,1571,1459,1567,1559,41.9%,0,-10.2,-27,,,
2020isde2,ISR District Event #2,qm,1,44,3388,2679,5951,7039,4661,4338,98,145,1628,1471,1546,1589,1424,1596,55.1%,0,6.4,-47,,,
2020isde2,ISR District Event #2,qm,1,45,2630,3835,4416,1690,4320,1657,33,143,1658,1559,1450,1843,1475,1597,19.3%,0,-44.5,-110,,,
2020isde2,ISR District Event #2,qm,1,46,5987,4744,2231,6168,5614,4319,132,99,1632,1515,1681,1463,1590,1438,87.4%,1,60.3,33,,,
2020isde2,ISR District Event #2,qm,1,47,5635,7067,8340,7177,8175,6104,88,122,1603,1559,1428,1533,1510,1619,39.9%,0,-12.8,-34,,,
2020isde2,ISR District Event #2,qm,1,48,6736,3339,6049,1954,3065,3075,218,85,1499,1726,1422,1422,1571,1583,60.1%,1,12.7,133,,,
2020isde2,ISR District Event #2,qm,1,49,7039,5635,3388,3835,5654,2231,73,37,1603,1598,1613,1541,1566,1674,54.7%,1,5.9,36,,,
